archive  size       crc          hash        
0        232        2533496640   1129261830  
0        2383       2636190954   1330284924  
0        159        4123595396   -1816056513 
0        546        1147217977   884781839   
0        59         513860479    953750154   
0        2019       507231717    -479907897  
0        113        3442603446   382314614   
0        131        12771238     1154977078  
0        128        3314190606   -497786987  
0        151        1512032186   -1313184251 
0        285        2909198560   -1755326337 
0        1249       1667211831   -636018890  
0        8465       236227835    1215140373  
0        922        98763957     -1810927825 
0        1066       4221929997   -2103011169 
0        382        4128549725   1204080023  
0        1805       3577784257   -1104118867 
0        1020       3414043959   -1233084815 
0        163        1457643852   407347455   
0        586        540807007    -88538525   
0        557        2836451965   1406601595  
0        1862       2254201289   2009802417  
0        166        431389964    837695982   
0        3837       2609365378   -614057375  
0        292        623229923    835516337   
0        1266       532381924    -1152111667 
0        621        1729039274   984512824   
0        1257       93658011     -1724797061 
0        1918       3826018824   -1063917650 
0        219        3173708261   -317902659  
0        721        2675505906   -2008147160 
0        677        2903537789   -673815265  
0        337        729348716    -610057393  
0        802        930892783    -826598501  
0        19937      1168212699   772526185   
0        827        4194042680   -639928155  
0        4158       2301545489   -560662547  
0        613        2753106072   -1672098690 
0        2456       4266799109   118415772   
0        430        709210797    559448496   
0        848        888740117    -676490407  
0        783        585578062    1903182820  
0        562        2095178772   241827987   
0        376        1743992363   -971990705  
0        2846       4195440341   -509386041  
0        846        222734687    -856695287  
0        267        223378064    917726993   
0        1001       324358438    1054948103  
0        369        3246987099   1055987842  
0        131        2897825248   -73766481   
0        179        560615396    -1700986222 
0        1021       1125563933   1920899707  
0        861        925601214    658802621   
0        3679       2076118162   124191273   
0        257        341644886    -232735956  
0        846        606913346    1936421261  
0        537        3688419377   255155560   
0        207        1686961651   1421885599  
0        1339       766941221    -252900515  
0        423        52036344     -887829212  
0        646        3357474364   1064950043  
0        1777       3722950494   -588922919  
0        313        2401774392   -832502621  
0        117        2557756100   761062819   
0        101        1783404401   -134281271  
0        104        3545559326   -454041126  
0        109        1872056772   -1603495280 
0        107        145240934    29826733    
0        107        2940504806   -157774790  
0        109        3831176927   -1137832139 
0        109        1493314717   2050828979  
0        109        4061161409   2091248277  
0        116        155398446    -1962396838 
0        118        3482411885   1281141742  
0        118        1501091541   1432673273  
0        117        1610337846   -1431855621 
0        110        24181443     -752403329  
0        109        107639547    1552729624  
0        118        2427657223   1842317921  
0        109        1689217041   -1939772433 
0        109        3892006535   -1397843401 
0        117        1615690980   -930152808  
0        118        2487353338   -904304599  
0        116        346241354    -1944649784 
0        109        3509778976   -455572581  
0        109        849999360    -996853753  
0        109        2218988589   -125386562  
0        109        4095865313   -830457637  
0        109        2844368541   907089301   
0        134        1407320692   1001828654  
0        2077       1322211859   -321815013  
0        1516       3785701236   -900161259  
0        723        145820426    835664912   
0        3644       4013386730   -1497042751 
0        318        135299459    -355019190  
0        419        1529557846   -368417713  
0        576        2682192370   -1829050321 
0        2369       330620954    878829094   
0        77         975480430    159323288   
0        100        2329100849   -1589331550 
0        112        4095125148   1224062376  
0        282        3844146313   -703584616  
0        152        1480480895   -1019274824 
0        258        1543877528   1168187682  
0        91         628545758    -1729750408 
0        68         1686779735   933375407   
0        474        1272935967   -788761531  
0        2829       1555251692   1384625008  
0        993        492353926    -1089550587 
0        284        3343445773   1276315430  
0        71         2353783219   766091837   
0        201        473602934    415178040   
0        441        1624361144   -344070947  
0        277        2135557611   1317698917  
0        77         389139639    742867699   
